bitflips:;23999
SDCs:;1919
Crashes:;262
Simultaneous SDCs and Crashes:;0

FaultModels SDCs:
FaultModel ;#SDCs; percentage
LSB bit-flip;1919;100.0

FaultModels Crashes:
FaultModel ;#Crashes; percentage
LSB bit-flip;262;13.6529442417926

Variables that caused SDCs:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
98.47328244274809;1441;1419;id2;newton.c;84
18.113975576662146;1474;267;s_args2;newton.c;85
13.838664812239221;1438;199;s_args1;newton.c;85
6.624605678233439;317;21;_rtld_local;rtld.c;162
3.581267217630854;363;13;_rtld_global;rtld.c;140

Variables that caused Crash:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
4.242002781641168;1438;61;s_args1;newton.c;85
3.7991858887381276;1474;56;s_args2;newton.c;85
9.392265193370166;362;34;_dl_skip_args;rtld.c;84
8.192090395480225;354;29;user_entry;../elf/dl-sysdep.c;89
0.4164096236890808;6484;27;_buffer;pthread_join.c;62
2.5787965616045847;349;9;_dl_argv;rtld.c;86
2.5236593059936907;317;8;_rtld_local;rtld.c;162
2.2346368715083798;358;8;__GI__dl_argv;rtld.c;83
0.4857737682165163;1441;7;id2;newton.c;84
0.41265474552957354;1454;6;argc;newton.c;79
1.3774104683195594;363;5;_rtld_global;rtld.c;140
1.1594202898550725;345;4;_rtld_local_ro;rtld.c;202
0.2664890073284477;1501;4;id1;newton.c;84
0.2127659574468085;1410;3;argv;newton.c;79
0.2849002849002849;351;1;_rtld_global_ro;rtld.c;168