bitflips:;27896
SDCs:;892
Crashes:;57
Simultaneous SDCs and Crashes:;0

FaultModels SDCs:
FaultModel ;#SDCs; percentage
LSB bit-flip;892;100.0

FaultModels Crashes:
FaultModel ;#Crashes; percentage
LSB bit-flip;57;6.390134529147982

Variables that caused SDCs:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
43.227326266195526;1698;734;argv;newton.c;79
5.257142857142857;1750;92;s_args1;newton.c;85
2.6949541284403673;1744;47;s_args2;newton.c;85
2.6595744680851063;376;10;_rtld_global;rtld.c;140
2.368421052631579;380;9;_rtld_local;rtld.c;162

Variables that caused Crash:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
0.9714285714285713;1750;17;s_args1;newton.c;85
3.77906976744186;344;13;_dl_skip_args;rtld.c;84
2.9702970297029703;404;12;user_entry;../elf/dl-sysdep.c;89
1.0526315789473684;380;4;_rtld_local;rtld.c;162
1.0;400;4;__GI__dl_argv;rtld.c;83
1.0638297872340425;376;4;_rtld_global;rtld.c;140
0.5319148936170213;376;2;_dl_argv;rtld.c;86
0.2544529262086514;393;1;_rtld_local_ro;rtld.c;202